Year,cd,Bachelors_degree_or_higher
2020,0_AK,121098
2020,0_DC,277816
2020,0_DE,175338
2020,0_ND,137958
2020,0_PR,121098
2020,0_SD,140300
2020,0_VT,138230
2020,0_WY,81191
2020,1_AL,96025
2020,1_AR,95999
2020,1_AZ,238202
2020,1_CA,79809
2020,1_CO,181848
2020,1_CT,150423
2020,1_FL,125418
2020,1_GA,110086
2020,1_HI,163182
2020,1_IA,152314
2020,1_ID,165129
2020,1_IL,41924
2020,1_IN,96400
2020,1_KS,66124
2020,1_KY,59761
2020,1_LA,81420
2020,1_MA,146424
2020,1_MD,122485
2020,1_ME,148116
2020,1_MI,106046
2020,1_MN,131735
2020,1_MO,138087
2020,1_MS,86775
2020,1_MT,105842
2020,1_NC,45679
2020,1_NE,80290
2020,1_NH,134652
2020,1_NJ,152929
2020,1_NM,134733
2020,1_NV,54683
2020,1_NY,246803
2020,1_OH,300565
2020,1_OK,97015
2020,1_OR,162636
2020,1_PA,248828
2020,1_RI,89335
2020,1_SC,104323
2020,1_TN,101673
2020,1_TX,66888
2020,1_UT,86956
2020,1_VA,195310
2020,1_WA,274836
2020,1_WI,167752
2020,1_WV,102466
2020,10_CA,333163
2020,10_FL,229997
2020,10_GA,100479
2020,10_IL,202108
2020,10_MI,113331
2020,10_NC,127391
2020,10_NJ,181289
2020,10_NY,375325
2020,10_OH,114782
2020,10_PA,163121
2020,10_TX,136720
2020,10_VA,286851
2020,10_WA,67834
2020,11_CA,378951
2020,11_FL,96206
2020,11_GA,50369
2020,11_IL,314825
2020,11_MI,214373
2020,11_NC,118345
2020,11_NJ,308239
2020,11_NY,115923
2020,11_OH,169013
2020,11_PA,92250
2020,11_TX,111466
2020,11_VA,176835
2020,12_CA,163024
2020,12_FL,66073
2020,12_GA,88359
2020,12_IL,104441
2020,12_MI,127684
2020,12_NC,112266
2020,12_NJ,140241
2020,12_NY,368468
2020,12_OH,149248
2020,12_PA,201698
2020,12_TX,218110
2020,13_CA,33883
2020,13_FL,108895
2020,13_GA,194049
2020,13_IL,183722
2020,13_MI,73778
2020,13_NC,156099
2020,13_NY,109123
2020,13_OH,180794
2020,13_PA,68812
2020,13_TX,72321
2020,14_CA,200444
2020,14_FL,200446
2020,14_GA,170005
2020,14_IL,101838
2020,14_NC,224230
2020,14_NY,52167
2020,14_OH,97930
2020,14_PA,175876
2020,14_TX,114358
2020,15_CA,128272
2020,15_FL,181318
2020,15_IL,51122
2020,15_NY,151523
2020,15_OH,113607
2020,15_PA,117752
2020,15_TX,31961
2020,16_CA,476006
2020,16_FL,75804
2020,16_IL,43716
2020,16_NY,197451
2020,16_PA,127297
2020,16_TX,110687
2020,17_CA,66916
2020,17_FL,91384
2020,17_IL,159505
2020,17_NY,180915
2020,17_PA,115636
2020,17_TX,90859
2020,18_CA,298321
2020,18_FL,102827
2020,18_NY,134983
2020,18_TX,133337
2020,19_CA,60251
2020,19_FL,134334
2020,19_NY,148551
2020,19_TX,84894
2020,2_AL,109032
2020,2_AR,105763
2020,2_AZ,120696
2020,2_CA,236979
2020,2_CO,310828
2020,2_CT,158459
2020,2_FL,118975
2020,2_GA,69860
2020,2_HI,99194
2020,2_IA,134900
2020,2_ID,101231
2020,2_IL,159268
2020,2_IN,102094
2020,2_KS,154922
2020,2_KY,110780
2020,2_LA,224948
2020,2_MA,178269
2020,2_MD,256216
2020,2_ME,98406
2020,2_MI,48303
2020,2_MN,153828
2020,2_MO,194520
2020,2_MS,123152
2020,2_MT,89669
2020,2_NC,115650
2020,2_NE,182312
2020,2_NH,164512
2020,2_NJ,118437
2020,2_NM,49822
2020,2_NV,109563
2020,2_NY,115865
2020,2_OH,58668
2020,2_OK,106496
2020,2_OR,76289
2020,2_PA,87250
2020,2_RI,125632
2020,2_SC,66548
2020,2_TN,105272
2020,2_TX,225085
2020,2_UT,222905
2020,2_VA,171580
2020,2_WA,80611
2020,2_WI,176691
2020,2_WV,121463
2020,20_CA,53572
2020,20_FL,187799
2020,20_NY,160560
2020,20_TX,171779
2020,21_CA,7846
2020,21_FL,100930
2020,21_NY,119073
2020,21_TX,42921
2020,22_CA,87684
2020,22_FL,140817
2020,22_NY,130433
2020,22_TX,10452
2020,23_CA,114543
2020,23_FL,60165
2020,23_NY,108779
2020,23_TX,91688
2020,24_CA,121991
2020,24_FL,119859
2020,24_NY,185207
2020,24_TX,348707
2020,25_CA,66890
2020,25_FL,228191
2020,25_NY,123959
2020,25_TX,158142
2020,26_CA,144500
2020,26_FL,57165
2020,26_NY,161594
2020,26_TX,318740
2020,27_CA,145973
2020,27_FL,282328
2020,27_TX,77811
2020,28_CA,211388
2020,28_FL,73726
2020,28_TX,148146
2020,29_CA,62339
2020,29_TX,3006
2020,3_AL,77833
2020,3_AR,115118
2020,3_AZ,24685
2020,3_CA,214017
2020,3_CO,108242
2020,3_CT,131431
2020,3_FL,120629
2020,3_GA,77837
2020,3_IA,132770
2020,3_IL,403863
2020,3_IN,90143
2020,3_KS,208021
2020,3_KY,100980
2020,3_LA,102864
2020,3_MA,171065
2020,3_MD,219552
2020,3_MI,220689
2020,3_MN,213548
2020,3_MO,200365
2020,3_MS,91300
2020,3_NC,127815
2020,3_NE,92809
2020,3_NJ,261668
2020,3_NM,115883
2020,3_NV,215327
2020,3_NY,140340
2020,3_OH,244949
2020,3_OK,79653
2020,3_OR,102596
2020,3_PA,226261
2020,3_SC,83326
2020,3_TN,139143
2020,3_TX,288594
2020,3_UT,69966
2020,3_VA,105095
2020,3_WA,133558
2020,3_WI,125892
2020,30_CA,97199
2020,30_TX,148351
2020,31_CA,58236
2020,31_TX,70307
2020,32_CA,440688
2020,32_TX,18940
2020,33_CA,23167
2020,33_TX,13214
2020,34_CA,254457
2020,34_TX,103858
2020,35_CA,65461
2020,35_TX,110048
2020,36_CA,112639
2020,36_TX,69368
2020,37_CA,152830
2020,37_TX,407160
2020,38_CA,212928
2020,38_TX,2973
2020,39_CA,151693
2020,4_AL,69353
2020,4_AR,84724
2020,4_AZ,241831
2020,4_CA,126341
2020,4_CO,105297
2020,4_CT,239428
2020,4_FL,88893
2020,4_GA,55113
2020,4_IA,110586
2020,4_IL,104084
2020,4_IN,160483
2020,4_KS,117279
2020,4_KY,175412
2020,4_LA,84828
2020,4_MA,248001
2020,4_MD,174390
2020,4_MI,63471
2020,4_MN,153679
2020,4_MO,98848
2020,4_MS,69143
2020,4_NC,187081
2020,4_NJ,96903
2020,4_NV,39593
2020,4_NY,231489
2020,4_OH,65563
2020,4_OK,88586
2020,4_OR,98052
2020,4_PA,126149
2020,4_SC,155336
2020,4_TN,78830
2020,4_TX,37223
2020,4_UT,176703
2020,4_VA,85287
2020,4_WA,85380
2020,4_WI,108215
2020,40_CA,57289
2020,41_CA,24247
2020,42_CA,65880
2020,43_CA,157063
2020,44_CA,162379
2020,45_CA,57311
2020,46_CA,144583
2020,47_CA,334250
2020,48_CA,303060
2020,49_CA,292822
2020,5_AL,118293
2020,5_AZ,143662
2020,5_CA,153229
2020,5_CO,157069
2020,5_CT,166146
2020,5_FL,178420
2020,5_GA,310840
2020,5_IL,121151
2020,5_IN,196284
2020,5_KY,74145
2020,5_LA,86542
2020,5_MA,345578
2020,5_MD,103399
2020,5_MI,110867
2020,5_MN,258051
2020,5_MO,98099
2020,5_NC,90983
2020,5_NJ,234140
2020,5_NY,157587
2020,5_OH,113244
2020,5_OK,185337
2020,5_OR,159708
2020,5_PA,161952
2020,5_SC,91790
2020,5_TN,234011
2020,5_TX,92569
2020,5_VA,147756
2020,5_WA,115139
2020,5_WI,119823
2020,50_CA,224021
2020,51_CA,93821
2020,52_CA,65187
2020,6_AL,200747
2020,6_AZ,172981
2020,6_CA,96816
2020,6_CO,284126
2020,6_FL,80929
2020,6_GA,209398
2020,6_IL,163428
2020,6_IN,105185
2020,6_KY,130250
2020,6_LA,71103
2020,6_MA,204125
2020,6_MD,178680
2020,6_MI,257066
2020,6_MN,96210
2020,6_MO,128764
2020,6_NC,173198
2020,6_NJ,216099
2020,6_NY,129016
2020,6_OH,67915
2020,6_OR,221522
2020,6_PA,233334
2020,6_SC,236727
2020,6_TN,61016
2020,6_TX,31209
2020,6_VA,125636
2020,6_WA,158185
2020,6_WI,176587
2020,7_AL,55728
2020,7_AZ,16291
2020,7_CA,102211
2020,7_CO,129574
2020,7_FL,118501
2020,7_GA,307187
2020,7_IL,75327
2020,7_IN,83264
2020,7_MA,79449
2020,7_MD,130572
2020,7_MI,129935
2020,7_MN,70665
2020,7_MO,109755
2020,7_NC,152640
2020,7_NJ,229769
2020,7_NY,424101
2020,7_OH,92362
2020,7_PA,118155
2020,7_SC,80325
2020,7_TN,167727
2020,7_TX,355997
2020,7_VA,200425
2020,7_WA,276774
2020,7_WI,77089
2020,8_AZ,61862
2020,8_CA,52841
2020,8_CO,100177
2020,8_FL,121081
2020,8_GA,119583
2020,8_IL,281539
2020,8_IN,89235
2020,8_MA,347897
2020,8_MD,263973
2020,8_MI,118093
2020,8_MN,134664
2020,8_MO,97062
2020,8_NC,103935
2020,8_NJ,100691
2020,8_NY,139682
2020,8_OH,74929
2020,8_PA,95675
2020,8_TN,51174
2020,8_TX,167510
2020,8_VA,372637
2020,8_WA,85420
2020,8_WI,94694
2020,9_AZ,129242
2020,9_CA,106386
2020,9_FL,84056
2020,9_GA,95482
2020,9_IL,196883
2020,9_IN,130847
2020,9_MA,155084
2020,9_MI,148242
2020,9_NC,189551
2020,9_NJ,154612
2020,9_NY,66848
2020,9_OH,127438
2020,9_PA,125473
2020,9_TN,181276
2020,9_TX,263436
2020,9_VA,113740
2020,9_WA,308742
2021,0_AK,122648
2021,0_DC,277110
2021,0_DE,182184
2021,0_ND,140119
2021,0_PR,561182
