cd,Bachelors_degree_or_higher
0_AK,121098
0_DC,277816
0_DE,175338
0_ND,137958
0_PR,121098
0_SD,140300
0_VT,138230
0_WY,81191
1_AL,96025
1_AR,95999
1_AZ,238202
1_CA,79809
1_CO,181848
1_CT,150423
1_FL,125418
1_GA,110086
1_HI,163182
1_IA,152314
1_ID,165129
1_IL,41924
1_IN,96400
1_KS,66124
1_KY,59761
1_LA,81420
1_MA,146424
1_MD,122485
1_ME,148116
1_MI,106046
1_MN,131735
1_MO,138087
1_MS,86775
1_MT,105842
1_NC,45679
1_NE,80290
1_NH,134652
1_NJ,152929
1_NM,134733
1_NV,54683
1_NY,246803
1_OH,300565
1_OK,97015
1_OR,162636
1_PA,248828
1_RI,89335
1_SC,104323
1_TN,101673
1_TX,66888
1_UT,86956
1_VA,195310
1_WA,274836
1_WI,167752
1_WV,102466
10_CA,333163
10_FL,229997
10_GA,100479
10_IL,202108
10_MI,113331
10_NC,127391
10_NJ,181289
10_NY,375325
10_OH,114782
10_PA,163121
10_TX,136720
10_VA,286851
10_WA,67834
11_CA,378951
11_FL,96206
11_GA,50369
11_IL,314825
11_MI,214373
11_NC,118345
11_NJ,308239
11_NY,115923
11_OH,169013
11_PA,92250
11_TX,111466
11_VA,176835
12_CA,163024
12_FL,66073
12_GA,88359
12_IL,104441
12_MI,127684
12_NC,112266
12_NJ,140241
12_NY,368468
12_OH,149248
12_PA,201698
12_TX,218110
13_CA,33883
13_FL,108895
13_GA,194049
13_IL,183722
13_MI,73778
13_NC,156099
13_NY,109123
13_OH,180794
13_PA,68812
13_TX,72321
14_CA,200444
14_FL,200446
14_GA,170005
14_IL,101838
14_NC,224230
14_NY,52167
14_OH,97930
14_PA,175876
14_TX,114358
15_CA,128272
15_FL,181318
15_IL,51122
15_NY,151523
15_OH,113607
15_PA,117752
15_TX,31961
16_CA,476006
16_FL,75804
16_IL,43716
16_NY,197451
16_PA,127297
16_TX,110687
17_CA,66916
17_FL,91384
17_IL,159505
17_NY,180915
17_PA,115636
17_TX,90859
18_CA,298321
18_FL,102827
18_NY,134983
18_TX,133337
19_CA,60251
19_FL,134334
19_NY,148551
19_TX,84894
2_AL,109032
2_AR,105763
2_AZ,120696
2_CA,236979
2_CO,310828
2_CT,158459
2_FL,118975
2_GA,69860
2_HI,99194
2_IA,134900
2_ID,101231
2_IL,159268
2_IN,102094
2_KS,154922
2_KY,110780
2_LA,224948
2_MA,178269
2_MD,256216
2_ME,98406
2_MI,48303
2_MN,153828
2_MO,194520
2_MS,123152
2_MT,89669
2_NC,115650
2_NE,182312
2_NH,164512
2_NJ,118437
2_NM,49822
2_NV,109563
2_NY,115865
2_OH,58668
2_OK,106496
2_OR,76289
2_PA,87250
2_RI,125632
2_SC,66548
2_TN,105272
2_TX,225085
2_UT,222905
2_VA,171580
2_WA,80611
2_WI,176691
2_WV,121463
20_CA,53572
20_FL,187799
20_NY,160560
20_TX,171779
21_CA,7846
21_FL,100930
21_NY,119073
21_TX,42921
22_CA,87684
22_FL,140817
22_NY,130433
22_TX,10452
23_CA,114543
23_FL,60165
23_NY,108779
23_TX,91688
24_CA,121991
24_FL,119859
24_NY,185207
24_TX,348707
25_CA,66890
25_FL,228191
25_NY,123959
25_TX,158142
26_CA,144500
26_FL,57165
26_NY,161594
26_TX,318740
27_CA,145973
27_FL,282328
27_TX,77811
28_CA,211388
28_FL,73726
28_TX,148146
29_CA,62339
29_TX,3006
3_AL,77833
3_AR,115118
3_AZ,24685
3_CA,214017
3_CO,108242
3_CT,131431
3_FL,120629
3_GA,77837
3_IA,132770
3_IL,403863
3_IN,90143
3_KS,208021
3_KY,100980
3_LA,102864
3_MA,171065
3_MD,219552
3_MI,220689
3_MN,213548
3_MO,200365
3_MS,91300
3_NC,127815
3_NE,92809
3_NJ,261668
3_NM,115883
3_NV,215327
3_NY,140340
3_OH,244949
3_OK,79653
3_OR,102596
3_PA,226261
3_SC,83326
3_TN,139143
3_TX,288594
3_UT,69966
3_VA,105095
3_WA,133558
3_WI,125892
30_CA,97199
30_TX,148351
31_CA,58236
31_TX,70307
32_CA,440688
32_TX,18940
33_CA,23167
33_TX,13214
34_CA,254457
34_TX,103858
35_CA,65461
35_TX,110048
36_CA,112639
36_TX,69368
