Year,cd,high_school_or_some_degree
2021,0_AK,306728
2021,0_DC,166206
2021,0_DE,352119
2021,0_ND,303734
2021,0_PR,1191468
2021,0_SD,320660
2021,0_VT,227099
2021,0_WY,211910
2021,1_AL,256311
2021,1_AR,397182
2021,1_AZ,271758
2021,1_CA,278434
2021,1_CO,144669
2021,1_CT,241340
2021,1_FL,313339
2021,1_GA,305992
2021,1_HI,298934
2021,1_IA,338952
2021,1_ID,418877
2021,1_IL,48559
2021,1_IN,282374
2021,1_KS,193540
2021,1_KY,251544
2021,1_LA,188126
2021,1_MA,318584
2021,1_MD,263890
2021,1_ME,232395
2021,1_MI,324805
2021,1_MN,303768
2021,1_MO,262799
2021,1_MS,279476
2021,1_MT,201423
2021,1_NC,185163
2021,1_NE,141481
2021,1_NH,220845
2021,1_NJ,284491
2021,1_NM,281929
2021,1_NV,255163
2021,1_NY,332150
2021,1_OH,427422
2021,1_OK,191740
2021,1_OR,178461
2021,1_PA,307774
2021,1_RI,132768
2021,1_SC,164711
2021,1_TN,341245
2021,1_TX,240869
2021,1_UT,229906
2021,1_VA,271058
2021,1_WA,374262
2021,1_WI,384207
2021,1_WV,367015
2021,10_CA,305488
2021,10_FL,425561
2021,10_GA,269644
2021,10_IL,190997
2021,10_MI,282716
2021,10_NC,404429
2021,10_NJ,341551
2021,10_NY,225037
2021,10_OH,296629
2021,10_PA,350788
2021,10_TX,234881
2021,10_VA,219115
2021,10_WA,218348
2021,11_CA,184143
2021,11_FL,232662
2021,11_GA,51877
2021,11_IL,423043
2021,11_MI,198619
2021,11_NC,254943
2021,11_NJ,262827
2021,11_NY,177081
2021,11_OH,362416
2021,11_PA,208621
2021,11_TX,383722
2021,11_VA,79682
2021,12_CA,143527
2021,12_FL,248972
2021,12_GA,289789
2021,12_IL,336594
2021,12_MI,358795
2021,12_NC,147025
2021,12_NJ,132109
2021,12_NY,121828
2021,12_OH,407933
2021,12_PA,278525
2021,12_TX,449232
2021,13_CA,172876
2021,13_FL,209876
2021,13_GA,404055
2021,13_IL,389065
2021,13_MI,239569
2021,13_NC,257340
2021,13_NY,128938
2021,13_OH,383916
2021,13_PA,253857
2021,13_TX,250749
2021,14_CA,223765
2021,14_FL,300950
2021,14_GA,439662
2021,14_IL,250806
2021,14_NC,238833
2021,14_NY,93183
2021,14_OH,284019
2021,14_PA,400488
2021,14_TX,326550
2021,15_CA,113136
2021,15_FL,361438
2021,15_IL,188444
2021,15_NY,459012
2021,15_OH,206576
2021,15_PA,349444
2021,15_TX,93278
2021,16_CA,254754
2021,16_FL,161195
2021,16_IL,117993
2021,16_NY,191433
2021,16_PA,274414
2021,16_TX,314308
2021,17_CA,27210
2021,17_FL,219625
2021,17_IL,415285
2021,17_NY,185739
2021,17_PA,157056
2021,17_TX,242190
2021,18_CA,465580
2021,18_FL,403703
2021,18_NY,254800
2021,18_TX,415797
2021,19_CA,90700
2021,19_FL,306180
2021,19_NY,348716
2021,19_TX,255769
2021,2_AL,340352
2021,2_AR,197487
2021,2_AZ,452351
2021,2_CA,349720
2021,2_CO,347541
2021,2_CT,273074
2021,2_FL,295005
2021,2_GA,230951
2021,2_HI,249290
2021,2_IA,344307
2021,2_ID,274516
2021,2_IL,435518
2021,2_IN,313832
2021,2_KS,387130
2021,2_KY,372908
2021,2_LA,491864
2021,2_MA,238205
2021,2_MD,305130
2021,2_ME,283983
2021,2_MI,210488
2021,2_MN,191326
2021,2_MO,167241
2021,2_MS,369643
2021,2_MT,213948
2021,2_NC,79674
2021,2_NE,269080
2021,2_NH,281089
2021,2_NJ,280934
2021,2_NM,152967
2021,2_NV,295845
2021,2_NY,203744
2021,2_OH,251128
2021,2_OK,408173
2021,2_OR,264048
2021,2_PA,254269
2021,2_RI,254972
2021,2_SC,167519
2021,2_TN,198176
2021,2_TX,451894
2021,2_UT,458226
2021,2_VA,324368
2021,2_WA,182973
2021,2_WI,189361
2021,2_WV,370968
2021,20_CA,158122
2021,20_FL,393354
2021,20_NY,221022
2021,20_TX,381415
2021,21_CA,61459
2021,21_FL,250791
2021,21_NY,329474
2021,21_TX,86354
2021,22_CA,445363
2021,22_FL,249329
2021,22_NY,270982
2021,22_TX,28092
2021,23_CA,499395
2021,23_FL,75052
2021,23_NY,257765
2021,23_TX,181900
2021,24_CA,257975
2021,24_FL,261206
2021,24_NY,432382
2021,24_TX,311629
2021,25_CA,266713
2021,25_FL,357710
2021,25_NY,222467
2021,25_TX,448208
2021,26_CA,272148
2021,26_FL,173791
2021,26_NY,302971
2021,26_TX,342730
2021,27_CA,307754
2021,27_FL,409942
2021,27_TX,316644
2021,28_CA,335751
2021,28_FL,155115
2021,28_TX,495449
2021,29_CA,165661
2021,29_TX,22709
2021,3_AL,271490
2021,3_AR,247773
2021,3_AZ,106580
2021,3_CA,398895
2021,3_CO,261514
2021,3_CT,201814
2021,3_FL,361744
2021,3_GA,189281
2021,3_IA,212674
2021,3_IL,448127
2021,3_IN,253331
2021,3_KS,191604
2021,3_KY,197503
2021,3_LA,326043
2021,3_MA,271976
2021,3_MD,226242
2021,3_MI,429467
2021,3_MN,208285
2021,3_MO,366350
2021,3_MS,286854
2021,3_NC,425321
2021,3_NE,283995
2021,3_NJ,327346
2021,3_NM,357112
2021,3_NV,483294
2021,3_NY,90488
2021,3_OH,321171
2021,3_OK,294891
2021,3_OR,169021
2021,3_PA,320421
2021,3_SC,242479
2021,3_TN,374355
2021,3_TX,342754
2021,3_UT,151962
2021,3_VA,305558
2021,3_WA,353839
2021,3_WI,373107
2021,30_CA,102767
2021,30_TX,429427
2021,31_CA,136078
2021,31_TX,156536
2021,32_CA,426115
2021,32_TX,15314
2021,33_CA,150347
2021,33_TX,40340
2021,34_CA,376184
2021,34_TX,357607
2021,35_CA,132618
2021,35_TX,245391
2021,36_CA,44409
2021,36_TX,226213
2021,37_CA,168400
2021,37_TX,330829
2021,38_CA,452640
2021,38_TX,13593
