Year,cd,high_school_or_some_degree
2020,0_AK,309698
2020,0_DC,177505
2020,0_DE,351177
2020,0_ND,303148
2020,0_PR,309698
2020,0_SD,324334
2020,0_VT,224524
2020,0_WY,217060
2020,1_AL,250831
2020,1_AR,398584
2020,1_AZ,283685
2020,1_CA,276511
2020,1_CO,153419
2020,1_CT,239202
2020,1_FL,312255
2020,1_GA,305345
2020,1_HI,293697
2020,1_IA,339608
2020,1_ID,408805
2020,1_IL,48633
2020,1_IN,278384
2020,1_KS,193893
2020,1_KY,250269
2020,1_LA,191584
2020,1_MA,321787
2020,1_MD,264679
2020,1_ME,231573
2020,1_MI,325063
2020,1_MN,301028
2020,1_MO,266890
2020,1_MS,284887
2020,1_MT,201707
2020,1_NC,192029
2020,1_NE,141401
2020,1_NH,221900
2020,1_NJ,280505
2020,1_NM,288532
2020,1_NV,254826
2020,1_NY,330902
2020,1_OH,424340
2020,1_OK,187361
2020,1_OR,168175
2020,1_PA,305274
2020,1_RI,129933
2020,1_SC,152744
2020,1_TN,340617
2020,1_TX,244231
2020,1_UT,226044
2020,1_VA,267786
2020,1_WA,369513
2020,1_WI,386242
2020,1_WV,370497
2020,10_CA,306840
2020,10_FL,415284
2020,10_GA,265956
2020,10_IL,187345
2020,10_MI,281971
2020,10_NC,406958
2020,10_NJ,324190
2020,10_NY,217976
2020,10_OH,297868
2020,10_PA,346046
2020,10_TX,236432
2020,10_VA,218732
2020,10_WA,213911
2020,11_CA,189900
2020,11_FL,222571
2020,11_GA,51373
2020,11_IL,427584
2020,11_MI,200854
2020,11_NC,255359
2020,11_NJ,254750
2020,11_NY,172699
2020,11_OH,361393
2020,11_PA,207714
2020,11_TX,388101
2020,11_VA,81529
2020,12_CA,144180
2020,12_FL,244963
2020,12_GA,286828
2020,12_IL,341314
2020,12_MI,349888
2020,12_NC,148545
2020,12_NJ,124803
2020,12_NY,115559
2020,12_OH,413970
2020,12_PA,275454
2020,12_TX,449012
2020,13_CA,170032
2020,13_FL,214598
2020,13_GA,401952
2020,13_IL,393732
2020,13_MI,242138
2020,13_NC,255242
2020,13_NY,127494
2020,13_OH,385995
2020,13_PA,253496
2020,13_TX,253853
2020,14_CA,228578
2020,14_FL,312143
2020,14_GA,440702
2020,14_IL,250425
2020,14_NC,240476
2020,14_NY,93411
2020,14_OH,283101
2020,14_PA,401268
2020,14_TX,323399
2020,15_CA,115369
2020,15_FL,367378
2020,15_IL,192505
2020,15_NY,447100
2020,15_OH,208130
2020,15_PA,354541
2020,15_TX,92380
2020,16_CA,257048
2020,16_FL,163571
2020,16_IL,119643
2020,16_NY,187174
2020,16_PA,272777
2020,16_TX,306439
2020,17_CA,26819
2020,17_FL,220027
2020,17_IL,417462
2020,17_NY,182987
2020,17_PA,152766
2020,17_TX,240362
2020,18_CA,465372
2020,18_FL,398641
2020,18_NY,251771
2020,18_TX,412922
2020,19_CA,93136
2020,19_FL,311913
2020,19_NY,344302
2020,19_TX,256697
2020,2_AL,333132
2020,2_AR,196882
2020,2_AZ,462767
2020,2_CA,353070
2020,2_CO,349074
2020,2_CT,276608
2020,2_FL,300423
2020,2_GA,227459
2020,2_HI,250252
2020,2_IA,343939
2020,2_ID,267074
2020,2_IL,438735
2020,2_IN,312182
2020,2_KS,387372
2020,2_KY,370986
2020,2_LA,498595
2020,2_MA,230347
2020,2_MD,303103
2020,2_ME,284713
2020,2_MI,208040
2020,2_MN,189243
2020,2_MO,168488
2020,2_MS,372875
2020,2_MT,212906
2020,2_NC,78802
2020,2_NE,266109
2020,2_NH,277413
2020,2_NJ,275055
2020,2_NM,149257
2020,2_NV,290627
2020,2_NY,201853
2020,2_OH,252313
2020,2_OK,420355
2020,2_OR,262369
2020,2_PA,255365
2020,2_RI,250559
2020,2_SC,172699
2020,2_TN,195826
2020,2_TX,446322
2020,2_UT,462129
2020,2_VA,325124
2020,2_WA,184379
2020,2_WI,188545
2020,2_WV,374401
2020,20_CA,149962
2020,20_FL,395821
2020,20_NY,219520
2020,20_TX,379637
2020,21_CA,61139
2020,21_FL,254104
2020,21_NY,330711
2020,21_TX,88566
2020,22_CA,437333
2020,22_FL,250706
2020,22_NY,266605
2020,22_TX,26252
2020,23_CA,496384
2020,23_FL,75725
2020,23_NY,260628
2020,23_TX,186591
2020,24_CA,258269
2020,24_FL,266254
2020,24_NY,434634
2020,24_TX,320656
2020,25_CA,268398
2020,25_FL,369601
2020,25_NY,220951
2020,25_TX,451964
2020,26_CA,274805
2020,26_FL,176183
2020,26_NY,296476
2020,26_TX,340487
2020,27_CA,295802
2020,27_FL,422802
2020,27_TX,321652
2020,28_CA,341930
2020,28_FL,152655
2020,28_TX,499380
2020,29_CA,168212
2020,29_TX,23722
2020,3_AL,267634
2020,3_AR,244772
2020,3_AZ,110656
2020,3_CA,397623
2020,3_CO,264194
2020,3_CT,203942
2020,3_FL,358982
2020,3_GA,188452
2020,3_IA,210147
2020,3_IL,449234
2020,3_IN,253704
2020,3_KS,190609
2020,3_KY,199919
2020,3_LA,328684
2020,3_MA,268261
2020,3_MD,223682
2020,3_MI,428167
2020,3_MN,208739
2020,3_MO,368716
2020,3_MS,289853
2020,3_NC,440999
2020,3_NE,284886
2020,3_NJ,325158
2020,3_NM,353765
2020,3_NV,495710
2020,3_NY,90653
2020,3_OH,322844
2020,3_OK,297470
2020,3_OR,168975
2020,3_PA,322288
2020,3_SC,241645
2020,3_TN,374403
2020,3_TX,333303
2020,3_UT,158046
2020,3_VA,306616
2020,3_WA,346745
2020,3_WI,371307
2020,30_CA,104480
2020,30_TX,429836
2020,31_CA,137709
2020,31_TX,154484
2020,32_CA,439154
2020,32_TX,17403
2020,33_CA,144950
2020,33_TX,39606
2020,34_CA,389221
2020,34_TX,355379
2020,35_CA,138076
2020,35_TX,248102
2020,36_CA,45212
2020,36_TX,226430
2020,37_CA,175534
2020,37_TX,333561
2020,38_CA,454322
2020,38_TX,12603
2020,39_CA,501362
2020,4_AL,295273
2020,4_AR,352061
2020,4_AZ,412794
2020,4_CA,289460
2020,4_CO,121598
2020,4_CT,212115
2020,4_FL,277080
2020,4_GA,88707
2020,4_IA,318653
2020,4_IL,262831
2020,4_IN,377601
2020,4_KS,272035
2020,4_KY,378385
2020,4_LA,328147
2020,4_MA,261676
2020,4_MD,313333
2020,4_MI,151849
2020,4_MN,199687
2020,4_MO,283740
2020,4_MS,241732
2020,4_NC,208493
2020,4_NJ,159029
2020,4_NV,144742
