Year,cd,Less_than_high_school_graduate
2021,0_AK,33268
2021,0_DC,31617
2021,0_DE,55892
2021,0_ND,28298
2021,0_PR,257422
2021,0_SD,41351
2021,0_VT,24841
2021,0_WY,22337
2021,1_AL,44535
2021,1_AR,66464
2021,1_AZ,45332
2021,1_CA,55092
2021,1_CO,31827
2021,1_CT,37601
2021,1_FL,43576
2021,1_GA,52943
2021,1_HI,28759
2021,1_IA,35078
2021,1_ID,60011
2021,1_IL,5322
2021,1_IN,37691
2021,1_KS,36776
2021,1_KY,39516
2021,1_LA,40169
2021,1_MA,49550
2021,1_MD,34600
2021,1_ME,21893
2021,1_MI,38940
2021,1_MN,34273
2021,1_MO,39632
2021,1_MS,54828
2021,1_MT,19482
2021,1_NC,37478
2021,1_NE,17528
2021,1_NH,22866
2021,1_NJ,39234
2021,1_NM,50303
2021,1_NV,91321
2021,1_NY,54326
2021,1_OH,56455
2021,1_OK,36751
2021,1_OR,26158
2021,1_PA,35525
2021,1_RI,26392
2021,1_SC,22697
2021,1_TN,53994
2021,1_TX,49774
2021,1_UT,27105
2021,1_VA,37510
2021,1_WA,47784
2021,1_WI,48577
2021,1_WV,64940
2021,10_CA,54585
2021,10_FL,67772
2021,10_GA,46606
2021,10_IL,36602
2021,10_MI,40291
2021,10_NC,75854
2021,10_NJ,71461
2021,10_NY,87398
2021,10_OH,39466
2021,10_PA,46476
2021,10_TX,40300
2021,10_VA,41571
2021,10_WA,26272
2021,11_CA,45780
2021,11_FL,39129
2021,11_GA,6331
2021,11_IL,71330
2021,11_MI,24703
2021,11_NC,40348
2021,11_NJ,37316
2021,11_NY,34047
2021,11_OH,60448
2021,11_PA,42514
2021,11_TX,76112
2021,11_VA,14778
2021,12_CA,40250
2021,12_FL,37133
2021,12_GA,53969
2021,12_IL,46127
2021,12_MI,64238
2021,12_NC,23661
2021,12_NJ,17319
2021,12_NY,25878
2021,12_OH,64217
2021,12_PA,26548
2021,12_TX,107213
2021,13_CA,74105
2021,13_FL,28805
2021,13_GA,70895
2021,13_IL,44829
2021,13_MI,55904
2021,13_NC,48139
2021,13_NY,49401
2021,13_OH,43175
2021,13_PA,35090
2021,13_TX,56387
2021,14_CA,47898
2021,14_FL,45324
2021,14_GA,98094
2021,14_IL,37761
2021,14_NC,53144
2021,14_NY,28705
2021,14_OH,40269
2021,14_PA,39581
2021,14_TX,60412
2021,15_CA,20613
2021,15_FL,68312
2021,15_IL,25836
2021,15_NY,177843
2021,15_OH,36751
2021,15_PA,41416
2021,15_TX,47119
2021,16_CA,49771
2021,16_FL,33595
2021,16_IL,12156
2021,16_NY,47627
2021,16_PA,31248
2021,16_TX,68447
2021,17_CA,5107
2021,17_FL,27410
2021,17_IL,58317
2021,17_NY,38558
2021,17_PA,11395
2021,17_TX,45421
2021,18_CA,168923
2021,18_FL,98302
2021,18_NY,36374
2021,18_TX,175980
2021,19_CA,11888
2021,19_FL,56891
2021,19_NY,49202
2021,19_TX,56978
2021,2_AL,66506
2021,2_AR,23258
2021,2_AZ,87226
2021,2_CA,71108
2021,2_CO,44581
2021,2_CT,27525
2021,2_FL,55357
2021,2_GA,44235
2021,2_HI,21871
2021,2_IA,34906
2021,2_ID,43915
2021,2_IL,66896
2021,2_IN,67032
2021,2_KS,51140
2021,2_KY,55366
2021,2_LA,103432
2021,2_MA,30198
2021,2_MD,38426
2021,2_ME,28738
2021,2_MI,28408
2021,2_MN,21271
2021,2_MO,17824
2021,2_MS,80278
2021,2_MT,23523
2021,2_NC,10786
2021,2_NE,41399
2021,2_NH,29493
2021,2_NJ,45684
2021,2_NM,36060
2021,2_NV,55076
2021,2_NY,33715
2021,2_OH,42457
2021,2_OK,75069
2021,2_OR,49727
2021,2_PA,61697
2021,2_RI,34934
2021,2_SC,25440
2021,2_TN,28718
2021,2_TX,96151
2021,2_UT,69575
2021,2_VA,34911
2021,2_WA,22011
2021,2_WI,16404
2021,2_WV,47006
2021,20_CA,43025
2021,20_FL,75354
2021,20_NY,29595
2021,20_TX,75458
2021,21_CA,33666
2021,21_FL,51017
2021,21_NY,49146
2021,21_TX,11394
2021,22_CA,173541
2021,22_FL,57850
2021,22_NY,39578
2021,22_TX,7289
2021,23_CA,123317
2021,23_FL,8741
2021,23_NY,30604
2021,23_TX,53061
2021,24_CA,58339
2021,24_FL,61602
2021,24_NY,56164
2021,24_TX,86101
2021,25_CA,83622
2021,25_FL,48025
2021,25_NY,35412
2021,25_TX,106842
2021,26_CA,71269
2021,26_FL,40553
2021,26_NY,41596
2021,26_TX,45115
2021,27_CA,75128
2021,27_FL,90471
2021,27_TX,70267
2021,28_CA,75806
2021,28_FL,44466
2021,28_TX,145425
2021,29_CA,74271
2021,29_TX,15708
2021,3_AL,51494
2021,3_AR,51618
2021,3_AZ,53035
2021,3_CA,50777
2021,3_CO,40625
2021,3_CT,25849
2021,3_FL,66915
2021,3_GA,33630
2021,3_IA,30258
2021,3_IL,104085
2021,3_IN,46295
2021,3_KS,22447
2021,3_KY,32899
2021,3_LA,64871
2021,3_MA,51801
2021,3_MD,27456
2021,3_MI,54817
2021,3_MN,20281
2021,3_MO,44484
2021,3_MS,53464
2021,3_NC,62834
2021,3_NE,39676
2021,3_NJ,43357
2021,3_NM,78577
2021,3_NV,76972
2021,3_NY,13885
2021,3_OH,48184
2021,3_OK,64692
2021,3_OR,33380
2021,3_PA,55354
2021,3_SC,49736
2021,3_TN,61545
2021,3_TX,53083
2021,3_UT,15720
2021,3_VA,36460
2021,3_WA,47654
2021,3_WI,34779
2021,30_CA,18530
2021,30_TX,155558
2021,31_CA,41149
2021,31_TX,24805
2021,32_CA,88217
2021,32_TX,4125
2021,33_CA,61468
2021,33_TX,22929
2021,34_CA,184572
2021,34_TX,145836
2021,35_CA,34700
2021,35_TX,68524
2021,36_CA,5219
2021,36_TX,57871
2021,37_CA,84000
2021,37_TX,52012
2021,38_CA,107639
2021,38_TX,2473
2021,39_CA,124409
2021,4_AL,65662
2021,4_AR,60277
2021,4_AZ,67993
2021,4_CA,53502
2021,4_CO,15470
2021,4_CT,47235
2021,4_FL,47008
2021,4_GA,15207
2021,4_IA,39809
2021,4_IL,93148
2021,4_IN,52669
2021,4_KS,46101
2021,4_KY,53071
2021,4_LA,65620
2021,4_MA,38408
2021,4_MD,75197
2021,4_MI,19873
2021,4_MN,36491
2021,4_MO,34717
2021,4_MS,42289
2021,4_NC,39133
2021,4_NJ,18787
2021,4_NV,24867
2021,4_NY,48826
2021,4_OH,24653
2021,4_OK,33294
2021,4_OR,32970
2021,4_PA,13889
2021,4_SC,55890
2021,4_TN,43681
2021,4_TX,20510
2021,4_UT,37628
2021,4_VA,39128
2021,4_WA,89887
2021,4_WI,50666
2021,40_CA,17539
2021,41_CA,8663
2021,42_CA,47205
2021,43_CA,125129
2021,44_CA,204970
2021,45_CA,16841
2021,46_CA,124367
2021,47_CA,75557
2021,48_CA,126058
2021,49_CA,40516
2021,5_AL,36961
2021,5_AZ,21143
2021,5_CA,122403
2021,5_CO,28303
2021,5_CT,41947
2021,5_FL,31941
2021,5_GA,44561
2021,5_IL,2072
2021,5_IN,33749
2021,5_KY,86593
2021,5_LA,79782
2021,5_MA,40182
2021,5_MD,17889
2021,5_MI,53312
2021,5_MN,45523
2021,5_MO,32012
2021,5_NC,35268
2021,5_NJ,23783
2021,5_NY,69751
2021,5_OH,41548
2021,5_OK,67441
2021,5_OR,35939
2021,5_PA,26926
2021,5_SC,37878
2021,5_TN,54852
2021,5_TX,87874
2021,5_VA,41172
2021,5_WA,29455
2021,5_WI,12171
2021,50_CA,41638
2021,51_CA,13901
2021,52_CA,48406
2021,6_AL,59935
2021,6_AZ,67729
2021,6_CA,42102
2021,6_CO,71235
